Company Name,CEO,Headquarter,Jan 2020 Rank,Jan 2020 Market Capitalization,July 2020 Rank,July 2020 Market Capitalization,Aug 2020 Rank,Aug 2020 Market Capitalization,Jan 2021 Rank,Jan 2021 Market Capitalization,Logo,URL
STARBUCKS CORPORATION,Kevin Johnson,USA,103,107.012 Billion USD,126,86.197 Billion USD,119,90.095 Billion USD,97,125.560 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/starbucks.jpg?itok=FgO5VgY-,https://www.starbucks.com/
SCHWARZ GROUP,None,Germany,103,None,None,None,None,None,103,None,None,None
ALLIANZ SE,Oliver Bate,Germany,104,105.918 Billion USD,125,86.250 Billion USD,122,88.098 Billion USD,126,100.760 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/allianz.jpg?itok=TvVygc0K,https://www.allianz.com
CHARTER COMMUNICATIONS,Thomas M. Rutledge,USA,105,105.335 Billion USD,95,106.881 Billion USD,85,125.800 Billion USD,92,132.230 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/spectrum.jpg?itok=Rrdd4Ktk,https://www.spectrum.com/
PETROLEO BRASILEIRO - PETROBRAS,Roberto Castello Branco,Brazil,106,104.102 Billion USD,218,54.373 Billion USD,242,53.674 Billion USD,205,71.899 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/petrobras.jpg?itok=cwull1Wq,http://www.petrobras.com.br/en/
DIAGEO,Ivan Menezes,UK,107,103.621 Billion USD,142,77.549 Billion USD,142,78.697 Billion USD,147,91.733 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/diageo.jpg?itok=qno-Ih27,https://www.diageo.com/
AMERICAN EXPRESS COMPANY,Stephen Squeri,USA,108,103.420 Billion USD,146,75.933 Billion USD,144,77.416 Billion USD,137,97.357 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/american-express.jpg?itok=8RJuuOpH,https://www.americanexpress.com/
GENERAL ELECTRIC COMPANY,H. Lawrence Culp Jr,USA,109,103.411 Billion USD,191,59.655 Billion USD,229,55.233 Billion USD,142,94.607 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/ge_0.jpg?itok=8br_Iei7,https://www.ge.com/
3M COMPANY,Mike Roman,USA,110,102.934 Billion USD,118,90.329 Billion USD,115,93.148 Billion USD,125,100.820 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/3m.jpg?itok=W8Lcw3JV,https://www.3m.com/
QUALCOMM,Steven Mollenkopf,USA,111,102.714 Billion USD,99,103.347 Billion USD,84,127.495 Billion USD,61,172.300 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/qualcomm.jpg?itok=0HuCyjcz,https://www.qualcomm.com/
AMERICAN TOWER CORPORATION (REIT),Tom Bartlett,USA,112,102.343 Billion USD,83,117.126 Billion USD,95,110.600 Billion USD,130,99.708 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/american-tower.jpg?itok=N0CZi26s,http://www.americantower.com/
THE GOLDMAN SACHS GROUP,David M. Solomon,USA,113,101.978 Billion USD,106,101.143 Billion USD,171,69.651 Billion USD,151,90.734 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/goldman-sachs.jpg?itok=WzZe1mL5,https://www.goldmansachs.com/
YOUTUBE,None,USA,113,None,None,None,None,None,113,None,None,https://www.youtube.com/
TORONTO-DOMINION BANK,Bharat Masrani,Canada,114,101.861 Billion USD,134,80.938 Billion USD,129,84.808 Billion USD,123,102.400 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/td.jpg?itok=SyTyH8fC,https://www.td.com
UNITED PARCEL SERVICE (UPS),David P. Abney,USA,115,101.563 Billion USD,110,98.599 Billion USD,77,137.303 Billion USD,80,145.560 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/ups_0.jpg?itok=jKKykdbE,https://www.ups.com
BRITISH AMERICAN TOBACCO,Jack Bowles,UK,116,100.584 Billion USD,120,88.983 Billion USD,149,76.628 Billion USD,165,84.670 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/british-america-tobacco.jpg?itok=Rt3fGIRV,https://www.bat.com/
SONY CORPORATION,Kenichiro Yoshida,Japan,117,100.028 Billion USD,71,136.136 Billion USD,111,95.382 Billion USD,101,123.210 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/sony.jpg?itok=HZZVLSp_,https://www.sony.net/
MARS INC,None,USA,117,None,None,None,None,None,117,None,None,https://www.mars.com/
COMMONWEALTH BANK OF AUSTRALIA,Matt Comyn,Australia,118,99.259 Billion USD,123,86.947 Billion USD,121,88.749 Billion USD,111,112.000 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/common-wealth-bank.jpg?itok=IiQ7-Q30,https://www.commbank.com.au/
CVS HEALTH CORPORATION,Larry J. Merlo,USA,119,98.693 Billion USD,128,84.569 Billion USD,132,83.678 Billion USD,154,89.399 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/cvs-health.jpg?itok=SODu-eXd,https://cvshealth.com/
HDFC BANK,Aditya Puri,India,120,98.686 Billion USD,144,76.531 Billion USD,143,77.519 Billion USD,118,107.380 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/Capture.jpg?itok=VS-i7b1m,https://www.hdfcbank.com/
NIPPON TELEGRAPH AND TELEPHONE CORPORATION,Jun Sawada,Japan,121,94.780 Billion USD,131,83.741 Billion USD,118,90.569 Billion USD,143,93.952 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/ntt.jpg?itok=OYUCS0rg,http://www.ntt.co.jp
REYES HOLDINGS,None,USA,121,None,None,None,None,None,121,None,None,https://www.reyesholdings.com/
U.S. BANCORP,Andrew Cecere,USA,122,93.968 Billion USD,133,82.668 Billion USD,248,53.039 Billion USD,211,70.185 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/usbank.jpg?itok=dY1K9upH,https://www.usbank.com
GAZPROM,Alexey Miller,Russia,123,93.956 Billion USD,178,64.817 Billion USD,221,56.485 Billion USD,212,69.570 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/gazprom.jpg?itok=u3eLrd7J,http://www.gazprom.com/
LOWE'S COMPANIES,Marvin Ellison,USA,124,93.561 Billion USD,101,102.461 Billion USD,87,122.260 Billion USD,104,117.610 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/lowes.jpg?itok=Jl08ZJC8,https://www.lowes.com/
SOFTBANK GROUP,Masayoshi Son,Japan,125,93.507 Billion USD,97,104.704 Billion USD,92,112.062 Billion USD,81,142.980 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/softbank.jpg?itok=9_LyVOvm,https://www.softbank.jp
CHRISTIAN DIOR,Sidney Toledano,France,126,93.276 Billion USD,143,77.187 Billion USD,158,74.084 Billion USD,127,99.873 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/dior.jpg?itok=79iS8zVf,https://www.dior.com
ALTRIA GROUP,Howard Willard,USA,127,92.432 Billion USD,153,73.220 Billion USD,139,80.766 Billion USD,187,76.195 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/altria.jpg?itok=aLF0-ebO,http://www.altria.com
NTT DOCOMO,Kazuhiro Yoshizawa,Japan,128,91.411 Billion USD,124,86.760 Billion USD,114,94.468 Billion USD,141,94.935 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/ntt-docomo.jpg?itok=WIpAuKeM,https://www.nttdocomo.co.jp/
SBERBANK OF RUSSIA,Herman Gref,Russia,129,90.327 Billion USD,182,63.571 Billion USD,181,66.921 Billion USD,181,78.877 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/sberbank.jpg?itok=P4sDYNL4,https://www.sberbank.ru/
CHINA PETROLEUM & CHEMICAL CORPORATION (SINOPEC),None,China,130,88.375 Billion USD,170,66.810 Billion USD,180,67.051 Billion USD,209,70.364 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/sinopec.jpg?itok=mh0Z77mM,http://www.sinopecgroup.com/
CSL,Paul Perreault,Australia,131,87.472 Billion USD,117,90.341 Billion USD,110,96.610 Billion USD,134,99.060 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/csl.jpg?itok=Ou29Bm85,https://www.csl.com/
STATE FARM,None,USA,131,None,None,None,None,None,131,None,None,https://www.statefarm.com/
BOOKING HOLDINGS,Glenn D. Fogel,USA,132,87.411 Billion USD,165,68.354 Billion USD,160,72.863 Billion USD,149,91.218 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/booking-holdings.jpg?itok=GjzfRPVa,https://www.bookingholdings.com/
FIDELITY NATIONAL INFORMATION SERVICES,Gary A. Norcross,USA,133,86.290 Billion USD,129,84.507 Billion USD,123,87.860 Billion USD,157,87.777 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/fis.jpg?itok=s4hASB0z,https://www.fisglobal.com/
KEYENCE CORPORATION,Akinori Yamamoto,Japan,134,85.882 Billion USD,109,99.426 Billion USD,105,100.729 Billion USD,90,136.020 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/keyence.jpg?itok=knmhlq3E,https://www.keyence.com/
ITAU UNIBANCO HOLDING,Candido Botelho Bracher,Brazil,136,85.662 Billion USD,272,47.292 Billion USD,340,40.899 Billion USD,282,55.865 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/itau.jpg?itok=8aBXpRTC,https://www.itau.com.br
KERING,Francois-Henri Pin,France,137,84.010 Billion USD,164,68.637 Billion USD,159,73.095 Billion USD,152,90.434 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/kering.jpg?itok=HejU3Pt_,https://www.kering.com/
MORGAN STANLEY,James P. Gorman,USA,138,83.870 Billion USD,148,75.301 Billion USD,140,80.572 Billion USD,100,123.970 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/morgan-stanley.jpg?itok=1pkLKOVw,https://www.morganstanley.com/
CATERPILLAR,Jim Umpleby,USA,139,82.898 Billion USD,161,69.127 Billion USD,155,74.961 Billion USD,135,98.884 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/caterpillar.jpg?itok=oLK7bHaX,https://www.caterpillar.com/
INGRAM MICRO,None,USA,139,None,None,None,None,None,139,None,None,https://www.ingrammicro.com/
GILEAD SCIENCES,Daniel O'Day,USA,140,82.713 Billion USD,113,95.771 Billion USD,133,83.372 Billion USD,200,73.031 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/gilead.jpg?itok=wbC7bK3n,http://www.gilead.com/
ENEL,Francesco Starace,Italy,141,82.055 Billion USD,119,89.645 Billion USD,116,92.731 Billion USD,122,102.430 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/enel.jpg?itok=QMYfFHpZ,https://www.enel.com/
ENBRIDGE,Al Monaco,Canada,142,80.849 Billion USD,189,60.715 Billion USD,182,66.274 Billion USD,237,64.656 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/enbridge.jpg?itok=C1FNv0Bc,https://www.enbridge.com/
MONDELEZ INTERNATIONAL,Dirk Van de Put,USA,143,80.521 Billion USD,151,73.500 Billion USD,135,82.087 Billion USD,169,83.621 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/mondelez.jpg?itok=NldKE_Vf,https://www.mondelezinternational.com/
TESLA,Elon Musk,USA,144,80.030 Billion USD,28,224.176 Billion USD,12,382.038 Billion USD,8,668.900 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/tesla.jpg?itok=lrluFOxU,https://www.tesla.com/
BLACKROCK,Laurence D. Fink,USA,145,79.268 Billion USD,132,83.662 Billion USD,120,89.057 Billion USD,113,110.040 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/blackrock.jpg?itok=DRMxe-1w,https://www.blackrock.com/
KOCH INDUSTRIES,None,USA,145,None,None,None,None,None,145,None,None,https://www.kochind.com/
BYTEDANCE,None,China,145,None,None,None,None,None,145,None,None,https://www.bytedance.com/en/
FISERV,Jeffery W. Yabuki,USA,146,79.163 Billion USD,175,65.777 Billion USD,191,64.039 Billion USD,188,76.129 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/fiserv.jpg?itok=DRYkQflP,https://www.fiserv.com
STRYKER CORPORATION,Kevin A. Lobo,USA,147,78.903 Billion USD,162,69.047 Billion USD,166,70.907 Billion USD,145,92.084 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/stryker.jpg?itok=GnfVfZFr,https://www.stryker.com/
MEITUAN DIANPING,Wang Xing,China,148,78.824 Billion USD,72,135.481 Billion USD,45,186.550 Billion USD,36,222.110 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/meituan-dianping.JPG?itok=KxxLETaB,https://www.meituan.com/
HERMES INTERNATIONAL,Axel Dumas,France,149,78.337 Billion USD,122,87.595 Billion USD,126,86.275 Billion USD,110,112.040 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/hermes.jpg?itok=G4Y4Z1F5,https://www.hermes.com/us/en/
DEUTSCHE TELEKOM AG,Timotheus Hottges,Germany,150,78.317 Billion USD,135,80.584 Billion USD,134,82.606 Billion USD,159,87.242 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/dt.jpg?itok=oe9i5MHb,https://www.telekom.com/en
BAYER,Werner Baumann,Germany,151,78.085 Billion USD,152,73.423 Billion USD,187,65.301 Billion USD,269,57.610 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/bayer.jpg?itok=gb5XQaxq,https://www.bayer.com/
ROSNEFT OIL COMPANY,Igor Sechin,Russia,152,77.998 Billion USD,220,53.871 Billion USD,278,47.411 Billion USD,281,56.470 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/rosneft.jpg?itok=6ttiZK4I,https://www.rosneft.com/
CIGNA CORPORATION,David Cordani,USA,153,77.757 Billion USD,159,70.287 Billion USD,185,65.472 Billion USD,193,75.209 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/cigna.jpg?itok=jyWEPDEa,https://www.cigna.com/
ANTHEM,Gail Koziara Boudreaux,USA,154,77.545 Billion USD,168,67.315 Billion USD,165,71.586 Billion USD,175,79.856 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/anthem.jpg?itok=apzXJWh2,https://www.antheminc.com/
TRUIST FINANCIAL CORPORATION,Kelly S. King,USA,155,75.805 Billion USD,263,49.077 Billion USD,267,49.740 Billion USD,238,64.615 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/truist.JPG?itok=KUOk3Mcx,https://www.bbt.com/
CNOOC LIMITED,Yang Hua,China,156,75.771 Billion USD,255,49.597 Billion USD,260,51.357 Billion USD,410,41.582 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/cnooc.jpg?itok=BodHyN1g,http://www.cnoocltd.com/
SAUDI BASIC INDUSTRIES CORPORATION (SABIC),Yousef Al-Benyan,Saudi Arabia,157,75.654 Billion USD,155,72.252 Billion USD,168,70.543 Billion USD,173,81.120 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/sabic.jpg?itok=u0_CEK6g,https://www.sabic.com
AMBEV,Jean Jereissati,Brazil,158,75.506 Billion USD,320,42.269 Billion USD,390,36.299 Billion USD,344,47.365 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/ambev.jpg?itok=5_34-sQq,https://www.ambev.com.br/
NASPERS,Bob van Dijk,South Africa,159,75.051 Billion USD,140,78.921 Billion USD,145,77.129 Billion USD,156,87.810 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/naspers.jpg?itok=0TgWlq2h,https://www.naspers.com/
BNP PARIBAS,Jean-Laurent Bonnafe,France,160,74.764 Billion USD,244,50.755 Billion USD,254,52.062 Billion USD,230,65.494 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/bnp-paribas.jpg?itok=d0FcGWq-,https://group.bnpparibas/
ESTEE LAUDER COMPANIES,Fabrizio Freda,USA,161,74.721 Billion USD,163,68.979 Billion USD,157,74.523 Billion USD,139,96.256 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/estee-lauder.jpg?itok=sC4IbtrL,https://www.elcompanies.com/
TJX COMPANIES,Ernie Herrman,USA,162,74.346 Billion USD,186,61.990 Billion USD,198,61.906 Billion USD,172,81.991 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/tjx.jpg?itok=Ta1IG7qa,http://www.tjx.com/
BIOGEN,Michel Vounatsos,USA,163,73.916 Billion USD,309,43.264 Billion USD,309,43.864 Billion USD,466,37.680 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/biogen.jpg?itok=s1fJG2s2,https://www.biogen.com
ROBERT BOSCH,None,Germany,163,None,None,None,None,None,163,None,None,https://www.bosch.com/
AUTOMATIC DATA PROCESSING (ADP),Carlos A. Rodriguez,USA,164,73.442 Billion USD,179,64.698 Billion USD,207,59.370 Billion USD,191,75.557 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/adp.jpg?itok=jerR37-o,https://www.adp.com/
BECTON DICKINSON AND COMPANY,Thomas Polen,USA,165,73.437 Billion USD,154,72.254 Billion USD,156,74.705 Billion USD,201,72.777 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/becton-dickson.JPG?itok=-8ghAEvS,https://www.bd.com/
CME GROUP,Terrence A. Duffy,USA,166,72.372 Billion USD,195,59.264 Billion USD,196,62.351 Billion USD,233,65.354 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/cme-group.jpg?itok=RJEOMGti,https://www.cmegroup.com/
CONOCOPHILLIPS COMPANY,Ryan Lance,USA,167,72.086 Billion USD,290,44.806 Billion USD,339,40.929 Billion USD,393,42.710 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/concor-phillips.jpg?itok=S9xUJ70R,http://www.conocophillips.com/
BANCO BRADESCO,Octavio de Lazari Junior,Brazil,168,71.942 Billion USD,396,34.334 Billion USD,462,31.637 Billion USD,650,28.113 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/bradesco.jpg?itok=HaIQf7ZI,https://banco.bradesco
MITSUBISHI UFJ FINANCIAL GROUP,Hironori Kamezawa,Japan,169,71.902 Billion USD,250,50.399 Billion USD,262,50.888 Billion USD,277,56.803 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/mufg.jpg?itok=tO0GkWXh,https://www.mufg.jp
BANCO SANTANDER,Jose Antonio Alvarez,Spain,170,71.788 Billion USD,329,41.438 Billion USD,399,35.797 Billion USD,298,54.044 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/santander_0.jpg?itok=ipky_Eb2,https://www.santander.com/
L'AIR LIQUIDE,Benoit Potier,France,171,70.861 Billion USD,158,70.361 Billion USD,146,76.859 Billion USD,185,77.178 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/air-liquide.jpg?itok=HPCJEWjM,https://www.airliquide.com/
DELOITTE,Anders Dons,UK,171,None,None,None,None,None,171,None,None,https://www2.deloitte.com/
BASF SE,None,Germany,172,70.793 Billion USD,243,50.970 Billion USD,241,53.718 Billion USD,203,72.387 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/basf.jpg?itok=izIQXgKl,https://www.basf.com
WULIANGYE YIBIN,Chen Lin,China,173,70.607 Billion USD,100,102.555 Billion USD,89,118.684 Billion USD,55,178.970 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/wuliangye.jpg?itok=zJmlW4lp,http://www.wuliangye.com.cn
THE PNC FINANCIAL SERVICES GROUP,William S. Demchak,USA,174,70.233 Billion USD,194,59.483 Billion USD,299,45.188 Billion USD,243,63.131 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/pnc.jpg?itok=QhLhVpyO,https://www.pnc.com
VALE,Eduardo Bartolomeo,Brazil,174,70.061 Billion USD,130,84.252 Billion USD,216,56.839 Billion USD,162,85.977 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/value.jpg?itok=3AbqQ8xU,http://www.vale.com/EN/Pages/default.aspx
CARGILL,None,USA,174,None,None,None,None,None,174,None,None,https://www.cargill.com/
CHUBB,Evan G. Greenberg,Switzerland,175,70.056 Billion USD,204,56.677 Billion USD,231,55.031 Billion USD,214,69.474 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/chubb.jpg?itok=kT9EBeEK,https://www.chubb.com/
KDDI CORPORATION,None,Japan,176,69.166 Billion USD,173,66.678 Billion USD,169,69.879 Billion USD,223,67.684 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/kddi.jpg?itok=0tx1ZEbw,http://www.kddi.com
INTUIT,Sasan K. Goodarzi,USA,177,69.114 Billion USD,137,79.613 Billion USD,131,84.028 Billion USD,121,104.100 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/intuit.jpg?itok=l0cwNFH7,https://www.intuit.com/
BANK OF NOVA SCOTIA,Brian J. Porter,Canada,178,69.038 Billion USD,245,50.558 Billion USD,256,51.814 Billion USD,231,65.459 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/scotia-bank.jpg?itok=Xb4DnVLU,https://www.scotiabank.com/
DOMINION ENERGY,Thomas F. Farrell II,USA,179,68.696 Billion USD,160,69.398 Billion USD,184,66.068 Billion USD,250,61.350 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/dominion-energy.jpg?itok=zofba97M,https://www.dominionenergy.com/
DUKE ENERGY CORPORATION,Lynn Good,USA,180,68.535 Billion USD,172,66.710 Billion USD,204,59.570 Billion USD,224,67.384 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/duke-energy.jpg?itok=77hZd_ej,https://www.duke-energy.com
AXA,Thomas Buberl,France,181,68.457 Billion USD,242,51.267 Billion USD,275,48.393 Billion USD,279,56.640 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/axa.jpg?itok=N4Fr8AGZ,https://www.axa.com/
T-MOBILE US,Mike Sievert,USA,182,68.370 Billion USD,75,131.325 Billion USD,70,144.632 Billion USD,62,167.370 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/tmobile.jpg?itok=2JApab1-,https://www.t-mobile.com/
INTUITIVE SURGICAL,Gary S Guthart,USA,183,68.352 Billion USD,167,67.694 Billion USD,137,81.202 Billion USD,140,96.172 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/intutive.jpg?itok=9P-DAVkM,https://www.intuitive.com/
EQUINOR ASA,Eldar Saetre,Norway,184,67.450 Billion USD,267,48.352 Billion USD,253,52.211 Billion USD,291,54.549 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/equinor.jpg?itok=V0XxDgqu,https://www.equinor.com/
S&P GLOBAL,Douglas L. Peterson,USA,185,67.315 Billion USD,136,80.280 Billion USD,125,87.244 Billion USD,179,79.092 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/spglobal.jpg?itok=axXHNjF_,https://www.spglobal.com
BLACKSTONE GROUP,Stephen A. Schwarzman,USA,186,66.907 Billion USD,363,37.727 Billion USD,386,36.643 Billion USD,368,44.976 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/blackstone.jpg?itok=lI_kFqTs,https://www.blackstone.com/
ESSILOR LUXOTTICA,Hubert Sagnieres,France,187,66.781 Billion USD,200,57.668 Billion USD,223,55.983 Billion USD,222,67.824 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/luxottica.jpg?itok=UmSZRaRF,http://www.luxottica.com
SOUTHERN COMPANY,Thomas A. Fanning,USA,188,66.703 Billion USD,209,55.744 Billion USD,228,55.310 Billion USD,235,64.885 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/southern-company.jpg?itok=3gv8D604,https://www.southerncompany.com/
PJSC LUKOIL,Vagit Alekperov,Russia,189,66.226 Billion USD,256,49.588 Billion USD,303,44.658 Billion USD,355,45.541 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/lukoil.jpg?itok=R0TU9Uic,http://www.lukoil.com/
SAFRAN,Philippe Petitcolin,France,190,65.788 Billion USD,303,43.785 Billion USD,272,48.981 Billion USD,258,60.282 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/safran.jpg?itok=rLWntIhP,https://www.safran-group.com/
CANADIAN NATIONAL RAILWAY COMPANY,Jean-Jacques Ruest,Canada,191,65.409 Billion USD,183,63.502 Billion USD,151,76.227 Billion USD,183,78.039 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/cn.jpg?itok=wXrjMRRU,https://www.cn.ca
TARGET CORPORATION,Brian Cornell,USA,192,64.858 Billion USD,193,59.562 Billion USD,147,76.854 Billion USD,155,88.401 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/target.jpg?itok=WcVQnfLh,https://www.target.com/
ADIDAS,Kasper Rorsted,Germany,193,64.440 Billion USD,232,51.835 Billion USD,206,59.491 Billion USD,207,70.751 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/adidas.jpg?itok=zMkV1CXa,https://www.adidas-group.com
PRICEWATERHOUSECOOPERS,None,UK,193,None,None,None,None,None,193,None,None,https://www.pwc.com/
VINCI,Xavier Huillard,France,194,64.245 Billion USD,228,52.517 Billion USD,246,53.205 Billion USD,283,55.686 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/vinci.jpg?itok=AGHJmhLK,https://www.vinci.com
VMWARE,Patrick P. Gelsinger,USA,195,64.093 Billion USD,184,62.807 Billion USD,212,58.185 Billion USD,263,58.878 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/vmware.jpg?itok=cdO_WMQW,https://www.vmware.com
ZOETIS,Kristin C. Peck,USA,196,63.769 Billion USD,177,65.380 Billion USD,153,75.249 Billion USD,182,78.657 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/zoetis.jpg?itok=aJUds4wR,https://www.zoetis.com/
TAKEDA PHARMACEUTICAL COMPANY,Christophe Weber,Japan,197,63.553 Billion USD,214,55.040 Billion USD,205,59.557 Billion USD,275,56.921 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/takeda.jpg?itok=D1w5QDIA,https://www.takeda.com/
BOSTON SCIENTIFIC CORPORATION,Michael F. Mahoney,USA,198,63.103 Billion USD,246,50.548 Billion USD,232,54.981 Billion USD,315,50.913 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/boston-scientific.jpg?itok=d2XHCvxI,http://www.bostonscientific.com
IBERDROLA,Jose Ignacio Sanchez Galan,Spain,199,63.052 Billion USD,149,75.111 Billion USD,141,78.859 Billion USD,161,86.565 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/iberdrola.jpg?itok=lxwp3_pU,http://www.iberdrola.es/
ALLERGAN,Brenton L. Saunders,Ireland,200,62.839 Billion USD,None,None,None,None,None,None,https://value.today/sites/default/files/styles/medium/public/2020-05/allergan.jpg?itok=KH4lcpC0,https://www.allergan.com/
PUBLIX,None,USA,200,None,None,None,None,None,200,None,None,http://www.publix.com/
THE CHARLES SCHWAB CORPORATION,Paul V. Woolway,USA,201,62.461 Billion USD,229,52.503 Billion USD,307,44.351 Billion USD,131,99.666 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/charles-schwab.jpg?itok=0i0U2t1n,https://www.schwab.com/
RECRUIT HOLDINGS,Masumi Minegishi,Japan,202,62.234 Billion USD,212,55.385 Billion USD,209,58.805 Billion USD,219,68.350 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/recruit.jpg?itok=FGO1S9JY,https://recruit-holdings.com/
